EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
,"1,5 l",,,Napoje > Wody > Gazowane,,,https://www.carrefour.pl/images/product/350x350/carrefour-naturalna-woda-mineralna-gazowana-15-l-26puv3.jpg,,,0.99,Carrefour,"Przechowywać w suchym i chłodnym miejscu, chronić przed działaniem promieni słonecznych i zamrożeniem. Po otwarciu przechowywać w warunkach chłodniczych, spożyć w ciągu 24 godzin.","Carrefour Naturalna woda mineralna gazowana 1,5 l",https://www.carrefour.pl:443/napoje/wody/gazowane/carrefour-naturalna-woda-mineralna-gazowana-15-l,
,"0,75 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Smak soku zależy od odmiany owoców. Produkt zawiera naturalnie występujące cukry. Mętność i osad soku są zjawiskiem naturalnym. Sok tłoczony jest ze świeżych, ekologicznych owoców, nie z koncentratu, jest nieklarowany i utrwalony za pomocą pasteryzacji.",,https://www.carrefour.pl/images/product/350x350/bio-100-jablkowy-700-ml-4fkmb6.jpg,"sok Bio wyciśnięty z jabłek 100%.
<br><br>Oznakowanie alergenów: wielkimi literami",,9.99,Carrefour,"Przechowywać w zacienionym miejscu, w temperaturze od +2°C do +25°C. Po otwarciu spożyć w ciągu 2 dni.",BIO 100% - jabłkowy 700 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/bio-100-jablkowy-700-ml,
,1 l,,,"Napoje > Mleko, napoje mleczne i roślinne > Mleko świeże","Mleko Wiejskie z Piątnicy jest poddawane procesowi mikrofiltracji i pasteryzacji w temperaturze 74°C. Dzięki temu zachowuje większość cennych składników odżywczych, w tym witaminy oraz niezdenaturowane białka serwatkowe.",,https://www.carrefour.pl/images/product/350x350/piatnica-mleko-wiejskie-swieze-32-1-l-9vum5i.jpg,"Zawartość tłuszczu: 3,2%
",,3.35,Carrefour,Przechowywać w temperaturze od +1°C do +6°C,"Piątnica Mleko wiejskie świeże 3,2% 1 l",https://www.carrefour.pl:443/napoje/mleko-napoje-mleczne-i-roslinne/mleko-swieze-1g/piatnica-mleko-wiejskie-swieze-32-1-l,
,9 l,,,Napoje > Wody > Gazowane,"Naturalna woda mineralna, średniozmineralizowana, z otworu Sudety+ w Gorzanowie k/ Polanicy-Zdroju. Zawiera wapń. Zawiera wodorowęglany. Odżelaziona przez napowietrzanie i filtrację, wysokonasycona dwutlenkiem węgla w toku produkcji: powyżej 4000 mg/l CO2.",,https://www.carrefour.pl/images/product/350x350/carrefour-naturalna-woda-mineralna-sudety-gazowana-6-x-15-l-rdlafp.jpg,,,5.89,Carrefour,"Przechowywać w suchym i chłodnym miejscu, chronić przed działaniem promieni słonecznych i zamrożeniem. Po otwarciu przechowywać w warunkach chłodniczych, spożyć w ciągu 24 godzin.","Carrefour Extra Sudety+ Naturalna woda mineralna gazowana 6 x 1,5 l",https://www.carrefour.pl:443/napoje/wody/gazowane/carrefour-extra-sudety-naturalna-woda-mineralna-gazowana-6-x-15-l,
,"0,6 l",,,Napoje > Wody > Niegazowane,"zawiera magnez, wapń i wodorowęglany W toku produkcji wodę poddano procesowi napowietrzania i filtracji - częściowo odgazowana. Woda wydobywana z otworów: O-1, K-1, M-2, M-5, M-13 w Miliku, M-3, A-1 w Andrzejówce",,https://www.carrefour.pl/images/product/350x350/muszynianka-plus-naturalna-woda-mineralna-wysokozmineralizowana-niskonasycona-co2-06-l-dr600m.jpg,,,1.99,Carrefour,Przechowywać w chłodnym i zaciemnionym miejscu.,"Muszynianka plus Naturalna woda mineralna wysokozmineralizowana niskonasycona CO2 0,6 l",https://www.carrefour.pl:443/napoje/wody/niegazowane/muszynianka-plus-naturalna-woda-mineralna-wysokozmineralizowana-niskonasycona-co2-06-l,
,1 l,,,"Napoje > Soki, nektary i syropy > Owocowe",,,https://www.carrefour.pl/images/product/350x350/granini-nektar-gruszka-1-l-4jc931.jpg,"przecier gruszkowy (30%), woda, sok gruszkowy z zagęszczonego soku gruszkowego (20%), cukier, zagęszczony sok cytrynowy, przeciwutleniacz: kwas askorbinowy, Zawartość owoców: min. 50%
",,7.59,Carrefour,Po otwarciu przechowywać w chłodnym miejscu i spożyć w ciągu 2-3 dni.,Granini Nektar gruszka 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/granini-nektar-gruszka-1-l,
,"0,25 l",,,"Napoje > Soki, nektary i syropy > Owocowe",,,https://www.carrefour.pl/images/product/350x350/purella-superfoods-supershot-recovery-napoj-niegazowany-imbir-kurkuma-60-ml-sog4gj.jpg,"zagęszczony sok pomarańczowy, sok imbirowy NFC* (28%), sok cytrynowy NFC*, zagęszczony sok z białych winogron*, sok z kurkumy NFC* (4%), *składniki pochodzenia ekologicznego
",,4.99,Carrefour,Przechowywać w suchym i chłodnym miejscu. Chronić przed światłem.,Purella Superfoods Supershot Recovery Napój niegazowany imbir + kurkuma 60 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/purella-superfoods-supershot-recovery-napoj-niegazowany-imbir-kurkuma-60-ml,
,"0,25 l",,,"Napoje > Mleko, napoje mleczne i roślinne > Napoje mleczne, kawowe",Jest wytwarzany zgodnie z tradycyjną recepturą. Proces jego dojrzewania i fermentacji zachodzi osobno w każdej zamkniętej butelce.,,https://www.carrefour.pl/images/product/350x350/robico-kefir-15-250-g-km028b.jpg,"<span style='font-weight: bold;'>mleko</span> pasteryzowane, żywe kultury bakterii i drożdży kefirowych
",,1.59,Carrefour,Temperatura przechowywania: od 2°C do 8°C,"Robico Kefir 1,5% 250 g",https://www.carrefour.pl:443/napoje/mleko-napoje-mleczne-i-roslinne/napoje-mleczne-kawowe/robico-kefir-15-250-g,
,"0,3 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Smak soku zależy od odmiany owoców. Produkt zawiera naturalnie występujące cukry. Mętność i osad soku są zjawiskiem naturalnym. Sok tłoczony jest ze świeżych owoców, nie koncentratu, jest nieklarowany i utrwalony za pomocą pasteryzacji.",,https://www.carrefour.pl/images/product/350x350/sok-gruszkowy-300-ml-2dbo1e.jpg,"wyciśnięty sok z gruszek 100%.
<br><br>Oznakowanie alergenów: wielkimi literami",,2.99,Carrefour,"Przechowywać w zacienionym miejscu,w temperaturze od +2°C do +25°C. Po otwarciu przechowywać w lodówce. <br>Spożyć w ciągu 2 dni.",Sok gruszkowy 300 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/sok-gruszkowy-300-ml,
,"0,1 kg",,,"Napoje > Kawy, herbaty, kakao > Herbaty","Tetley Classic to specjalna kompozycja czarnych herbat o klasycznym, orzeźwiającym i jednocześnie łagodnym smaku.",,https://www.carrefour.pl/images/product/350x350/tetley-classic-herbata-czarna-granulowana-100-g-pbhc9q.jpg,"herbata czarna
",,6.59,Carrefour,Przechowywać w suchym i chłodnym miejscu.,Tetley Classic Herbata czarna granulowana 100 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/tetley-classic-herbata-czarna-granulowana-100-g,
