EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight,
7312040017034,1 L,,1 L,Alkohol > Wódki Czyste,"Absolut Wódka 1 l Szwedzka wódka Absolut niezmiennie od 1879 roku produkowana jest według idei One Source (ang. Jedno Źródło). Oznacza to, że każda kropla tej wyjątkowej wódki powstaje na obszarze otaczającym miasteczko Åhus na południu Szwecji. Jedno Źródło to jeden rodzaj pszenicy ozimej uprawianej na okolicznych żyznych polach, jedno lokalne ujęcie nieskazitelnie czystej wody oraz jedno miejsce destylacji i butelkowania. Dzięki tak starannej, tradycyjnej metodzie produkcji, każda butelka wódki Absolut ma ten sam charakter i smak. Absolut pojawił się na globalnej scenie w 1979 roku i szybko stał się jedną z najlepiej sprzedających się marek wódki z segmentu Top Premium. Od lat Absolut inspiruje zarówno produktowo, jak i reklamowo, a jego niecodzienne kampanie stały się istotną częścią pop-kultury. Kampanie reklamowe, które zachwycają innowacyjnością w komunikacji kluczowych wartości marki - czystości, prostoty i perfekcji - były wielokrotnie nagradzane. W 1999 roku kampania reklamowa Absolut Vodka została uznana przez Advertising Age za jedną z 10 najlepszych kampanii XX wieku. Wódka Absolut jest pionierem współczesnych wódek smakowych.",,https://www.leclerc.rzeszow.pl/resize.php?pic=177/7312040017034_T1.jpg&x=500&y=400,,Szwecja,52.99,Leclerc Rzeszów,,Absolut Wódka 1 l,https://www.leclerc.rzeszow.pl/absolut-wodka-1-l-produkt-159247.html,Waga netto 1 L,
8593875510115,"0,5 l",,"0,5 l",Alkohol > Piwo > Piwo importowane,"Palackého 934,  
784 01 Litovel,  
Republika Czeska Pakowane w atmosferze ochronnej. Butelka bezzwrotna",Jęczmień - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=178/8593875510115_T1.jpg&x=500&y=400,"woda pitna
cukier
produkty chmielowe",Czechy,3.99,Leclerc Rzeszów,,"Litovel Premium Piwo jasne pełne 0,5 l",https://www.leclerc.rzeszow.pl/litovel-premium-piwo-jasne-pelne-05-l-produkt-159227.html,"Waga netto 0,5 l",
5900227001017,500 ml,,500 ml,Alkohol > Piwo > Piwo puszki,"ul. Browarna 88, 
34-300 Żywiec Leżajsk 
Tradycje browarnicze od 1525 r. Wartość energetyczna w 100 ml: 172 kJ/41 kcal 2 Pełne do wygrania! 
Regulamin na lezajsk.com.pl 
Promocja obowiązuje w woj.: podkarpackim i lubelskim. 
Sprzedaż promocyjna: 01.07-30.11.2020 r. 
Odbiór nagród do 03.12.2020 r.",Jęczmień - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5900227001017_T1.jpg&x=100&y=70,"woda
słód 
kukurydza
ekstrakt z chmielu i chmiel",,10.39,Leclerc Rzeszów,,Leżajsk Piwo jasne pełne 4 x 500 ml,https://www.leclerc.rzeszow.pl/lezajsk-piwo-jasne-pelne-4-x-500-ml-produkt-159342.html,Waga netto 500 ml,
5900490000427,500 ml,,500 ml,Alkohol > Piwo > Piwo butelki,"Lech Premium Piwo jasne 500 ml Lech Premium to jasne piwo typu lager. Wyróżnia go harmonia smaku i odpowiedniego nagazowania, które nadają mu znakomite właściwości orzeźwiające - zwłaszcza, gdy jest mocno schłodzony. Pasuje na wszystkie okazje, zawsze gdy potrzebujesz orzeźwienia. Lech jest dla wszystkich młodych duchem, pełnych energii optymistów. Jest dla tych, którzy do życia podchodzą z dystansem, a przy tym są ambitni i nie zapominają o celach, jakie przed sobą stawiają. To piwo dla tych, którzy wierzą w siłę pozytywnego myślenia. Bo Ci, którzy myślą pozytywnie, wygrywają. Wartość energetyczna (na 100 ml): 172 kJ/41 kcal Butelka zwrotna 
 
Składniki odżywcze na: www.abcalkoholu.pl Nadające się do recyklingu",Jęczmień - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5900490000427_T1.jpg&x=500&y=400,"woda
słody 
chmiel i wyciąg z szyszek chmielowych",,2.99,Leclerc Rzeszów,,Lech Premium Piwo jasne 500 ml,https://www.leclerc.rzeszow.pl/lech-premium-piwo-jasne-500-ml-produkt-159336.html,Waga netto 500 ml,
5901359074337,500 ml,,500 ml,Alkohol > Piwo > Piwne specjalności,"Książęce IPA Piwo jasne 500 ml Intensywny aromat chmielowy oraz wyczuwalne nuty cytrusów i owoców tropikalnych - to zasługa aż 6 odmian amerykańskiego chmielu. 
 
Prosta, rozszerzana ku górze szklanka, podkreśla gęstą białą pianę i intensywny aromat chmielowy piwa IPA. 
Optymalna temperatura serwowania 12-14°C. 
Idealny do pikantnych mięs i kuchni meksykańskiej. Spróbuj pozostałych piw z kolekcji Książęce. Wartość energetyczna (na 100 ml): 206 kJ/49 kcal. Szkło - powszechnie recyklingowane",Jęczmień - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5901359074337_T1.jpg&x=500&y=400,"woda
słody 
 typu pale ale i jasny pilzneński
chmiel goryczkowy
chmiele aromatyczne odmian Citra, Mosaic, Cascade, Centennial, Azacca, Pekko
wyciąg z chmielu",,4.49,Leclerc Rzeszów,,Książęce IPA Piwo jasne 500 ml,https://www.leclerc.rzeszow.pl/ksiazece-ipa-piwo-jasne-500-ml-produkt-159319.html,Waga netto 500 ml,
5900191015607,500 ml,,500 ml,Alkohol > Wódki Czyste,"ul. Złota 59 
00-120 Warszawa Wódka Luksusowa jest produkowana nieprzerwanie od 1928 roku. Jej unikalna receptura opiera się na dwóch kluczowych elementach - wysokiej jakości spirytusie oraz najczystszej wodzie pochodzącej ze studni głębinowych. 
Luksusowa to delikatny smak wódki, której receptura opiera się na kompozycji smakowej polskiego żyta i ziemniaków. Proces produkcji Luksusowej jest oczywiście dużo bardziej skomplikowany i kosztowny niż dowolnej wódki zbożowej, ale warto - łagodny, pełny smak zadowoli każdego. 
Marka Luksusowa powstała w 1928 roku. W okresie międzywojennym stosowany był podział na wódki zwykłe, wyborowe i luksusowe. Jego podstawą był rodzaj wykorzystywanych w produkcji spirytusów rektyfikowanych. Różniły się między sobą poziomem czystości, czyli zawartością ubocznych składników fermentacji, co przekładał się na jakość smaku i zapachu alkoholu. Wódka Luksusowa zawsze była produkowana z najlepszej klasy spirytusu, takie jest właśnie źródło jej nazwy. Jest jedną z najbardziej znanych polskich wódek w USA. Dostępna jest także w Kanadzie, Australii, Wielkiej Brytanii, Niemczech, Australii, Izraelu, Islandii i we Włoszech. Luksusowa od początku swojego istnienia była najwyższej jakości wódką czystą, produkowaną z najbardziej oczyszczonego spirytusu, a przez to i najdroższą z wódek czystych w latach 20tych.  
Produkcję Wódki Luksusowej rozpoczęto w 1928 roku. Wódki czyste dzielono wtedy na zwykłe, wyborowe i luksusowe. Podział ten wywodził się z gatunków spirytusów rektyfikowanych, z których wódki były produkowane. Spirytusy różnią się między sobą poziomem czystości, czyli zawartością ubocznych składników fermentacji, a tym samym jakością smaku i zapachu. Z tej tradycji wywodzi się receptura i sama nazwa wódki Luksusowa. Od lat jest jedną z najczęściej nagradzanych wódek na prestiżowych, międzynarodowych konkursach Już 11 razy z rzędu Luksusowa zdobyła złoty medal w prestiżowym konkursie Monde Selection*. Jest jedną z najbardziej znanych polskich wódek w USA. Jest także eksportowana do Kanady, Australii, Wielkiej Brytanii i Niemiec. 
* w oparciu o dane IWSR na koniec 2010 r.",,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5900191015607_T1.jpg&x=500&y=400,,,25.99,Leclerc Rzeszów,,Luksusowa Wódka 500 ml,https://www.leclerc.rzeszow.pl/luksusowa-wodka-500-ml-produkt-159345.html,Waga netto 500 ml,
5900227000843,500 ml,,500 ml,Alkohol > Piwo > Piwo butelki,"Leżajsk Pełne Piwo jasne 500 ml Klasyka gatunku w wykonaniu Leżajskich Browarników. Idealnie dobrane składniki i krystalicznie czysta, podkarpacka woda sprawiają, ze Leżajsk Pełne ma tak orzeźwiający i doskonale wyważony smak. Tradycje browarnicze Leżajska od 1525 r. Butelka zwrotna Szkło - powszechnie recyklingowane",Jęczmień - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5900227000843_T1.jpg&x=500&y=400,,,2.69,Leclerc Rzeszów,,Leżajsk Pełne Piwo jasne 500 ml,https://www.leclerc.rzeszow.pl/lezajsk-pelne-piwo-jasne-500-ml-produkt-159343.html,Waga netto 500 ml,
5900490270202,4 x 500 ml,,4 x 500 ml,Alkohol > Piwo > Piwo puszki,"ul. Szwajcarska 11 
61-285 Poznań Lech Premium to jasne piwo typu lager. Wyróżnia go harmonia smaku i odpowiedniego nagazowania, które nadają mu znakomite właściwości orzeźwiające - zwłaszcza, gdy jest mocno schłodzony. Pasuje na wszystkie okazje, zawsze gdy potrzebujesz orzeźwienia. Lech jest dla wszystkich młodych duchem, pełnych energii optymistów. Jest dla tych, którzy do życia podchodzą z dystansem, a przy tym są ambitni i nie zapominają o celach, jakie przed sobą stawiają. To piwo dla tych, którzy wierzą w siłę pozytywnego myślenia. Bo Ci, którzy myślą pozytywnie, wygrywają. Wartość energetyczna (na 100 ml): 172 kJ/ 41 kcal Składniki odżywcze na: www.abcalkoholu.pl.",Jęczmień - Zawiera,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5900490270202_T1.jpg&x=500&y=400,"woda
słody 
chmiel i wyciąg z szyszek chmielowych",,12.99,Leclerc Rzeszów,,Lech Premium Piwo jasne 4 x 500 ml,https://www.leclerc.rzeszow.pl/lech-premium-piwo-jasne-4-x-500-ml-produkt-159335.html,Waga netto 4 x 500 ml,
3564709040691,,,500ml,"Alkohol > Brandy, koniak",Koniak francuski ,,https://www.leclerc.rzeszow.pl/resize.php?pic=178/159392_koniak-v-s-o-p-05l_200724104357.jpg&x=500&y=400,,,69.99,Leclerc Rzeszów,"Przechowywać w temperaturze pokojowej 
 
 
","Koniak V S O P 0,5L",https://www.leclerc.rzeszow.pl/koniak-v-s-o-p-05l-produkt-159392.html,,
5901064071010,700 ml,,700 ml,"Alkohol > Gin, rum, tequila","Lubuski Original Gin 700 ml Wysokiej jakości polski gin destylowany, wytwarzany od 1987 roku z wyselekcjonowanych owoców jałowca.",,https://www.leclerc.rzeszow.pl/resize.php?pic=177/5901064071010_T1.jpg&x=500&y=400,,Polska,35.99,Leclerc Rzeszów,,Lubuski Original Gin 700 ml,https://www.leclerc.rzeszow.pl/lubuski-original-gin-700-ml-produkt-159322.html,Waga netto 700 ml,
