,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
0, 5010327325125, 700 ml             ,GLENFIDDICH , 700 ml             ,alkohol,Zawartość alkoholu: 40%							,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4220.jpg'],,,,Swiadome zakupy,,15 Y. O. Single Malt Szkocka whisky,"http://www.swiadomezakupy.pl/products/view/4193
",
1, 085000019849, 750 ml             ,Carlo Rossi, 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4157.jpg'],,,,Swiadome zakupy,,Wino Sweet Red ,"http://www.swiadomezakupy.pl/products/view/4130
",
2,, 500 ml             ,Amber, 500 ml             ,alkohol,"<table align=""left"" border=""1"" cellpadding=""1"" cellspacing=""1""><tbody><tr><td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">składniki</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">woda, słód jęczmienny jasny, chmiel goryczkowy i aromatyczny z upraw lubelskich, żywe komórki drożdży<br/>
</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Metoda warzenia</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">dolna fermentacja, długie leżakowanie</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Pasteryzacja</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">nie</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Styl</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">lager jasny</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Kolor</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">bursztynowy</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Termin przydatności do spożycia      </span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">35 dni</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Ekstrakt</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">14,5%</span></span></td>
</tr>
<tr>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">Zawartość alkoholu</span></span></td>
<td><span style=""font-size: x-small;""><span style=""font-family: Verdana;"">6,2%</span></span></td></tr></tbody></table>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/581.jpg'],,,,Swiadome zakupy,,Piwo Żywe,"http://www.swiadomezakupy.pl/products/view/596
",
3, 5903538901816," 0,5 l             ",Browar Łomża," 0,5 l             ",alkohol,"Zaw. alk. 5,7%							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3111.jpg'],,,,Swiadome zakupy,,Piwo Łomża Export pszeniczne,"http://www.swiadomezakupy.pl/products/view/3079
",
4, 5900533006218, 750 ml             ,Dorato, 750 ml             ,alkohol,<h4>Szczegóły</h4>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4169.jpg'],,,,Swiadome zakupy,,Wino musujące różowe półsłodkie,"http://www.swiadomezakupy.pl/products/view/4142
",
5,," 0,75 l             ",Jantoń," 0,75 l             ",alkohol,"<div class=""offer_data"">
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Smak:brzoskwinia
            </div></div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Zawartość alkoholu:14%
            </div></div>
</div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1301.jpg'],,,,Swiadome zakupy,,wino Manhattan Peach ,"http://www.swiadomezakupy.pl/products/view/1293
",
6,," 0,5 l             ",Kormoran Browar," 0,5 l             ",alkohol,Piwo nie filtrowane,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1425.jpg'],,,,Swiadome zakupy,,Piwo Orkiszowe,"http://www.swiadomezakupy.pl/products/view/1422
",
7, 5900014002326, 500 ml             ,Okocim, 500 ml             ,alkohol,5% alk							,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3298.jpg'],,,,Swiadome zakupy,,Piwo pszeniczne,"http://www.swiadomezakupy.pl/products/view/3269
",
8,," 0,5 l             ",Krajan," 0,5 l             ",alkohol,"Piwo jasne, aromatyzowane o ekstrakcie wagowym 12,1 Blg i zawartości alkoholu 5,5 %. 							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1465.png'],,,,Swiadome zakupy,,Piwo Krajan Miodowe,"http://www.swiadomezakupy.pl/products/view/1463
",
9,," 0,5 l             ",Kormoran Browar," 0,5 l             ",alkohol,"Składniki: Woda, słód jęczmienny jasny, słód jęczmienny ciemny, chmiel","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1447.jpg'],,,,Swiadome zakupy,,Piwo Irish Beer,"http://www.swiadomezakupy.pl/products/view/1444
",
