,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
0, 5449000000286, 2 l             ,Coca Cola, 2 l             ,napoje,"Napój gazowany o smaku cola.
Naturalne aromaty. Bez dodatku substancji konserwujących
Składniki

woda

cukier

dwutlenek węgla

barwnik E 150d

kwas: kwas fosforowy

naturalne aromaty w tym kofeina","{'nutritional': '\n                        Każda porcja 250 ml zawiera 105 kcal, 5 % GDA*,  Cukry 27\xa0g 29% , Tłuszcze 0.0\xa0g 0%, Tłuszcze nasycone 0.0\xa0g 0% , Sód0.0\xa0g 0%\n, ', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}","['http://www.swiadomezakupy.pl/uploads/products/940/1590.jpg', 'http://www.swiadomezakupy.pl/uploads/products/940/1585.jpg']",,,,Swiadome zakupy,,Coca-Cola Napój gazowany,"http://www.swiadomezakupy.pl/products/view/1578
",
1, 5904215922377, 1 l             ,Gomar Pińczów, 1 l             ,napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1710.jpg'],,,,Swiadome zakupy,,Sok  marchw.-truskawkowo-jabłkowy  Michaś,"http://www.swiadomezakupy.pl/products/view/1681
",
2, 5900635000046, 500 ml             ,Nałęczowianka, 500 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5482.jpg'],,,,Swiadome zakupy,,Naturalna woda mineralna niegazowana ,"http://www.swiadomezakupy.pl/products/view/5429
",
3,, 250 ml             ,Fortuna, 250 ml             ,napoje,"soki odtworzone z soków zagęszczonych i przeciery z: winogron, marchwi 
22%, jabłek 18%, bananów 18%, cytryn, woda, witamina C i witamina E - 
substancje wzbogacające, aromat.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/303.png'],,,,Swiadome zakupy,,marchew jabłko banan 250ml Karotka,"http://www.swiadomezakupy.pl/products/view/312
",
4, 5901886020555, 250 ml             ,dr Witt, 250 ml             ,napoje,"Skład: woda, sok jabłkowy odtworzony z zagęszczonego soku jabłkowego (21%), 
cukier, regulatory kwasowości: kwas cytrynowy, cytrynian trisodowy, 
cytrynian tripotasowy; aromat czarnej porzeczki, zagęszczony sok 
z aronii, sól, substancje wzbogacające: (witamina C) kwas L-askorbinowy,
 mleczan wapnia; substancja słodząca: E955.							","{'nutritional': '', 'package': ' puszka metalowa \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/214.png'],,,,Swiadome zakupy,,napó energetyczny Activdrink odporność ,"http://www.swiadomezakupy.pl/products/view/222
",
5,, 1 l             ,Fortuna, 1 l             ,napoje,"woda, sok z czarnych porzeczek odtworzony z zagęszczonego soku 
z czarnych porzeczek (25%), syrop glukozowo-fruktozowy, kwas cytrynowy -
 regulator kwasowości, naturalny aromat z czarnych porzeczek.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/284.png'],,,,Swiadome zakupy,,nektar z czarnej porzeczki 1L,"http://www.swiadomezakupy.pl/products/view/293
",
6,, 2 l             ,Garden, 2 l             ,napoje,"woda, soki odtworzone z zagęszczonych soków z: winogron, czarnej 
porzeczki (4%) i jabłek, kwas cytrynowy i cytrynian trisodowy - 
regulatory kwasowości, antocyjany - barwnik, aromat, substancje słodzące
 E-950, E-952, E-954, kwas askorbinowy - przeciwutleniacz.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/217.png'],,,,Swiadome zakupy,,czarna porzeczka 2L,"http://www.swiadomezakupy.pl/products/view/225
",
7, 5900500025600, 2 l             ,Hortex, 2 l             ,napoje, ,"{'nutritional': '', 'package': ' karton \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3141.jpg'],,,,Swiadome zakupy,,Sok jabłkowy 100%,"http://www.swiadomezakupy.pl/products/view/3110
",
8, 5902078003400, 700 ml             ,Cisowianka, 700 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5287.jpg'],,,,Swiadome zakupy,,Naturalna woda mineralna niegazowana ,"http://www.swiadomezakupy.pl/products/view/5233
",
9,, 250 ml             ,Fortuna, 250 ml             ,napoje,"soki odtworzone z soków zagęszczonych i przeciery z: winogron, marchwi 
25%, jabłek 23%, brzoskwiń 21%, cytryn, woda, witamina C i witamina E - 
substancje wzbogacające, aromat.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/305.png'],,,,Swiadome zakupy,,marchew jabłko brzoskwinia 250ml Karotka,"http://www.swiadomezakupy.pl/products/view/314
",
10, 5900956100609, 420 ml             ,Herbapol, 420 ml             ,napoje,"<div class=""ingredients""><h4>Składniki</h4><div>cukier, woda, 
zagęszczony sok aroniowy, kwas cytrynowy - regulator kwasowości, liść 
melisy, aromaty, zagęszczony sok malinowy, witamina C - substancja 
wzbogacająca</div></div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4553.jpg'],,,,Swiadome zakupy,,Syrop malinowy z melisą ,"http://www.swiadomezakupy.pl/products/view/4516
",
11, 5902403039210," 1,5 l             ",Ustronianka," 1,5 l             ",napoje,"<span itemprop=""description"">Niegazowany napój o smaku cytrynowym na bazie wody Ustronianka.</span>","{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5308.jpg'],,,,Swiadome zakupy,,Woda  cytrynowa,"http://www.swiadomezakupy.pl/products/view/5254
",
12, 5904215923367, 300 ml             ,Gomar Pińczów, 300 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1779.jpg'],,,,Swiadome zakupy,, Napój MULTIWITAMINA,"http://www.swiadomezakupy.pl/products/view/1750
",
13, 5904215922056, 300 ml             ,Gomar Pińczów, 300 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1774.jpg'],,,,Swiadome zakupy,,Nektar z aronii,"http://www.swiadomezakupy.pl/products/view/1745
",
14, 5900497600330, 330 ml             ,Lipton, 330 ml             ,napoje, ,"{'nutritional': '', 'package': ' puszka aluminiowa \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5492.jpg'],,,,Swiadome zakupy,,ICE TEA Lemon Napój niegazowany,"http://www.swiadomezakupy.pl/products/view/5439
",
15, 5904215923251," 0,3 l             ",Gomar Pińczów," 0,3 l             ",napoje, ,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1714.jpg'],,,,Swiadome zakupy,,Sok  marchw.-brzoskwiniowo-jabłkowy     Michaś,"http://www.swiadomezakupy.pl/products/view/1685
",
16,, 1 l             ,Fortuna, 1 l             ,napoje,"koncentrat i przecier z pomidorów (100%), woda, sól, kwas cytrynowy - 
regulator kwasowości, papryka ostra czerwona, naturalny aromat Tabasco.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/291.png'],,,,Swiadome zakupy,,sok 100% pomidorowy z tabasco 1L,"http://www.swiadomezakupy.pl/products/view/300
",
17, 5449000011527, 330 ml             ,Coca Cola, 330 ml             ,napoje,"Skład: Woda, A-cukier i/lub B-syrop glukozowo-fruktozowy (patrz kod na 
spodzie puszki) lub (patrz kod na szyjce butelki lub  na etykiecie), sok
 pomarańczowy z soku zagęszczonego (3%), ekstrakt pomarańczowy, 
dwutlenek węgla, regulator kwasowości kwas cytrynowy, aromaty, 
przeciwutleniacz kwas askorbinowy, stabilizator guma guar, barwnik 
mieszanina karotenów. Bez dodatku substancji konserwujących.","{'nutritional': '\n                        Każda porcja 250 ml zawiera 113 kcal, 6 % GDA*\n                      , ', 'package': ' puszka metalowa \xa0\xa0          '}","['http://www.swiadomezakupy.pl/uploads/products/940/1600.jpg', 'http://www.swiadomezakupy.pl/uploads/products/940/1599.jpg']",,,,Swiadome zakupy,,Fanta Pomarańczowa Napój gazowany ,"http://www.swiadomezakupy.pl/products/view/1585
",
